2026-08-18 21:13:46,126 | INFO | agents.retriever_agent | [RetrievalAgent] strategy=vector query='explain security in Angular. Retrieve from internal documents' reason='Intent 'INTERNAL_QUESTION' requires retrieval'
2026-08-18 21:13:46,126 | INFO | agents.retriever_agent | [RetrievalAgent] Retrieval attempt 1/2 query='Angular security best practices internal documentation'
2026-08-18 21:13:46,127 | INFO | tools.vector_retriever_tool | [VectorRetrievalTool] Retrieving documents for query='Angular security best practices internal documentation'
2026-08-18 21:13:46,127 | INFO | rag.retriever | Retrieving documents for query='Angular security best practices internal documentation', top_k=5
2026-08-18 21:13:46,127 | INFO | rag.retriever | Generating query embedding
2026-08-18 21:13:46,240 | INFO | rag.vectorstore | Searching vector DB with top_k=5
2026-08-18 21:13:46,247 | INFO | rag.retriever | Retrieved 5 documents
2026-08-18 21:13:46,247 | INFO | agents.retriever_agent | [RetrievalAgent] Sufficient retrieval results after attempt 1
2026-08-18 21:18:59,247 | INFO | app | FastAPI app starting
2026-08-18 21:18:59,683 | INFO | watcher.corpora_watcher | Starting watcher for folder: corpora
2026-08-18 21:22:12,087 | INFO | agents.query_understanding_agent | [QueryUnderstandingAgent] Processing query: explain security in Angular. Retrieve from internal documents
2026-08-18 21:22:12,087 | INFO | llm.query_understanding_llm | [QueryUnderstandingLLM] Calling Groq API
2026-08-18 21:22:13,648 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-18 21:22:14,148 | INFO | agents.query_understanding_agent | [QueryUnderstandingAgent] intent=Intent.DOCUMENT_QUERY, source=Source.INTERNAL
2026-08-18 21:22:14,153 | INFO | agents.retriever_agent | [RetrievalAgent] Starting retrieval for query='explain security in Angular. Retrieve from internal documents'
2026-08-18 21:22:14,153 | INFO | agents.retriever_agent | [RetrievalAgent] strategy=vector query='explain security in Angular. Retrieve from internal documents' reason='Intent 'DOCUMENT_QUERY' requires retrieval'
2026-08-18 21:22:14,153 | INFO | agents.retriever_agent | [RetrievalAgent] Retrieval attempt 1/2 query='explain security in Angular'
2026-08-18 21:22:14,154 | INFO | tools.vector_retriever_tool | [VectorRetrievalTool] Retrieving documents for query='explain security in Angular'
2026-08-18 21:22:14,154 | INFO | rag.retriever | Retrieving documents for query='explain security in Angular', top_k=5
2026-08-18 21:22:14,154 | INFO | rag.retriever | Generating query embedding
2026-08-18 21:22:14,207 | INFO | rag.vectorstore | Searching vector DB with top_k=5
2026-08-18 21:22:14,210 | INFO | rag.retriever | Retrieved 5 documents
2026-08-18 21:22:14,210 | INFO | agents.retriever_agent | [RetrievalAgent] Sufficient retrieval results after attempt 1
2026-08-18 21:22:14,210 | INFO | agents.retriever_agent | [RetrievalAgent] Final retrieval count=5
2026-08-18 23:18:18,436 | INFO | app | FastAPI app starting
2026-08-18 23:18:18,914 | INFO | watcher.corpora_watcher | Starting watcher for folder: corpora
2026-08-18 23:18:40,295 | INFO | agents.query_understanding_agent | [QueryUnderstandingAgent] Processing query: explain security in Angular. Retrieve from internal documents
2026-08-18 23:18:40,295 | INFO | llm.query_understanding_llm | [QueryUnderstandingLLM] Calling Groq API
2026-08-18 23:18:42,187 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-18 23:18:42,773 | INFO | agents.query_understanding_agent | [QueryUnderstandingAgent] intent=Intent.DOCUMENT_QUERY, source=Source.INTERNAL
2026-08-18 23:18:42,779 | INFO | agents.retriever_agent | [RetrievalAgent] Starting retrieval for query='explain security in Angular. Retrieve from internal documents'
2026-08-18 23:18:42,781 | INFO | agents.retriever_agent | [RetrievalAgent] strategy=vector query='explain security in Angular. Retrieve from internal documents' reason='Intent 'DOCUMENT_QUERY' requires retrieval'
2026-08-18 23:18:42,781 | INFO | agents.retriever_agent | [RetrievalAgent] Retrieval attempt 1/2 query='explain security in Angular'
2026-08-18 23:18:42,782 | INFO | tools.vector_retriever_tool | [VectorRetrievalTool] Retrieving documents for query='explain security in Angular'
2026-08-18 23:18:42,782 | INFO | rag.retriever | Retrieving documents for query='explain security in Angular', top_k=5
2026-08-18 23:18:42,782 | INFO | rag.retriever | Generating query embedding
2026-08-18 23:18:42,953 | INFO | rag.vectorstore | Searching vector DB with top_k=5
2026-08-18 23:18:42,957 | INFO | rag.retriever | Retrieved 5 documents
2026-08-18 23:18:42,958 | INFO | agents.retriever_agent | [RetrievalAgent] Sufficient retrieval results after attempt 1
2026-08-18 23:18:42,959 | INFO | agents.retriever_agent | [RetrievalAgent] Final retrieval count=5
2026-08-18 23:55:45,682 | INFO | app | FastAPI app starting
2026-08-18 23:55:45,959 | INFO | watcher.corpora_watcher | Starting watcher for folder: corpora
2026-08-18 23:57:22,392 | INFO | agents.query_understanding_agent | [QueryUnderstandingAgent] Processing query: explain security in Angular. Retrieve from internal documents
2026-08-18 23:57:22,393 | INFO | llm.query_understanding_llm | [QueryUnderstandingLLM] Calling Groq API
2026-08-18 23:57:24,044 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-18 23:57:24,632 | INFO | agents.query_understanding_agent | [QueryUnderstandingAgent] intent=Intent.DOCUMENT_QUERY, source=Source.INTERNAL
2026-08-18 23:57:24,640 | INFO | agents.retriever_agent | [RetrievalAgent] Starting retrieval for query='explain security in Angular. Retrieve from internal documents'
2026-08-18 23:57:24,642 | INFO | agents.retriever_agent | [RetrievalAgent] strategy=vector query='explain security in Angular. Retrieve from internal documents' reason='Intent 'DOCUMENT_QUERY' requires retrieval'
2026-08-18 23:57:24,642 | INFO | agents.retriever_agent | [RetrievalAgent] Retrieval attempt 1/2 query='Explain security concepts and best practices in Angular'
2026-08-18 23:57:24,642 | INFO | tools.vector_retriever_tool | [VectorRetrievalTool] Retrieving documents for query='Explain security concepts and best practices in Angular'
2026-08-18 23:57:24,642 | INFO | rag.retriever | Retrieving documents for query='Explain security concepts and best practices in Angular', top_k=5
2026-08-18 23:57:24,643 | INFO | rag.retriever | Generating query embedding
2026-08-18 23:57:24,758 | INFO | rag.vectorstore | Searching vector DB with top_k=5
2026-08-18 23:57:24,762 | INFO | rag.retriever | Retrieved 5 documents
2026-08-18 23:57:24,762 | INFO | agents.retriever_agent | [RetrievalAgent] Sufficient retrieval results after attempt 1
2026-08-18 23:57:24,763 | INFO | agents.retriever_agent | [RetrievalAgent] Final retrieval count=5
2026-08-18 23:57:24,767 | INFO | agents.answer_generation_agent | [AnswerGenerationAgent] Generating RAG answer
2026-08-18 23:57:24,767 | INFO | llm.generative_llm | [GenerativeLLM] Calling Groq API for response generation
2026-08-18 23:57:27,453 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
